I1,I4,I5,I7,I8,I11,I18
I1,I8,I9,I10,I23,I43,I50
I1,I2,I3,I12,I14,I23,I40
I1,I2,I4,I6,I9,I10,I25
I3,I6,I7,I10,I11,I12,I40
I1,I7,I10,I11,I12,I15,I17
I1,I3,I11,I13,I22,I37,I40
I1,I3,I4,I7,I15,I17,I37
I1,I3,I10,I16,I27,I36,I46
I1,I3,I11,I12,I13,I17,I21
I1,I3,I6,I7,I10,I12,I40
I4,I5,I7,I8,I14,I25,I39
I1,I5,I8,I10,I11,I17,I31
I1,I3,I4,I5,I11,I17,I31
I1,I2,I10,I18,I20,I34,I35
I1,I3,I9,I10,I33,I34,I39
I3,I6,I7,I11,I12,I16,I40
I1,I2,I4,I8,I11,I13,I18
I1,I2,I10,I13,I16,I21,I35
I1,I2,I3,I7,I19,I20,I23
I2,I11,I12,I13,I21,I34,I46
I1,I2,I5,I12,I14,I29,I35
I4,I5,I7,I8,I10,I12,I49
I1,I2,I4,I6,I9,I10,I15
I2,I3,I6,I10,I12,I15,I50
I3,I6,I7,I16,I19,I22,I40
I1,I4,I10,I11,I21,I22,I29
I2,I3,I6,I12,I19,I20,I50
I1,I5,I7,I10,I11,I16,I17
I2,I4,I6,I9,I21,I23,I30
I1,I8,I10,I11,I12,I15,I17
I1,I2,I4,I6,I9,I11,I22
I1,I2,I3,I7,I15,I20,I23
I1,I2,I4,I14,I18,I22,I27
I1,I3,I10,I14,I26,I33,I39
I1,I2,I3,I6,I12,I18,I50
I1,I3,I6,I7,I12,I24,I40
I1,I5,I6,I12,I25,I27,I43
I1,I2,I3,I4,I7,I11,I17
I1,I4,I5,I7,I8,I11,I12
I2,I10,I11,I12,I21,I35,I46
I1,I3,I10,I11,I13,I14,I15
I1,I7,I11,I12,I13,I15,I35
I2,I4,I5,I7,I8,I10,I12
I1,I2,I11,I12,I21,I31,I46
I1,I5,I6,I11,I24,I25,I27
I1,I2,I4,I10,I13,I22,I28
I1,I2,I4,I8,I11,I14,I27
I1,I2,I5,I11,I14,I15,I21
I1,I2,I4,I10,I15,I16,I20
I1,I5,I6,I10,I25,I27,I28
I1,I3,I4,I11,I21,I36,I38
I1,I2,I10,I13,I14,I18,I19
I1,I3,I10,I11,I20,I24,I49
I1,I5,I14,I26,I34,I37,I39
I1,I3,I10,I11,I13,I16,I32
I1,I5,I6,I11,I25,I26,I27
I1,I4,I5,I7,I8,I14,I15
I2,I6,I10,I11,I12,I14,I29
